CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ      MHZ
 87    0      0   15 15:15:15:0       yes 2400.0000 800.0000 2400.000
 88    0      0   16 16:16:16:0       yes 2400.0000 800.0000 2400.000
 89    0      0   17 17:17:17:0       yes 2400.0000 800.0000 2400.000
 90    0      0   18 18:18:18:0       yes 2400.0000 800.0000 2400.000
 91    0      0   19 19:19:19:0       yes 2400.0000 800.0000 2400.000
 92    0      0   20 20:20:20:0       yes 2400.0000 800.0000 2400.000
 93    0      0   21 21:21:21:0       yes 2400.0000 800.0000 2400.000
 94    0      0   22 22:22:22:0       yes 2400.0000 800.0000 2400.000
 95    0      0   23 23:23:23:0       yes 2400.0000 800.0000 2400.000
 96    0      0   24 24:24:24:0       yes 2400.0000 800.0000 2400.000
 97    0      0   25 25:25:25:0       yes 2400.0000 800.0000 2400.000
 98    0      0   26 26:26:26:0       yes 2400.0000 800.0000 2400.000
 99    0      0   27 27:27:27:0       yes 2400.0000 800.0000 2400.000
100    0      0   28 28:28:28:0       yes 2400.0000 800.0000 2400.000
101    0      0   29 29:29:29:0       yes 2400.0000 800.0000 2400.000
102    0      0   30 30:30:30:0       yes 2400.0000 800.0000 2400.000
103    0      0   31 31:31:31:0       yes 2400.0000 800.0000 2400.000
104    0      0   32 32:32:32:0       yes 2400.0000 800.0000 2400.000
105    0      0   33 33:33:33:0       yes 2400.0000 800.0000 2400.000
106    0      0   34 34:34:34:0       yes 2400.0000 800.0000 2400.000
107    0      0   35 35:35:35:0       yes 2400.0000 800.0000 2400.000
108    1      1   36 64:64:64:1       yes 2400.0000 800.0000 2400.000
109    1      1   37 65:65:65:1       yes 2400.0000 800.0000 2400.000
110    1      1   38 66:66:66:1       yes 2400.0000 800.0000 2400.000
111    1      1   39 67:67:67:1       yes 2400.0000 800.0000 2400.000
112    1      1   40 68:68:68:1       yes 2400.0000 800.0000 2400.000
113    1      1   41 69:69:69:1       yes 2400.0000 800.0000 2400.000
114    1      1   42 70:70:70:1       yes 2400.0000 800.0000 2400.000
115    1      1   43 71:71:71:1       yes 2400.0000 800.0000 2400.000
116    1      1   44 72:72:72:1       yes 2400.0000 800.0000 2400.000
117    1      1   45 73:73:73:1       yes 2400.0000 800.0000 2400.000
118    1      1   46 74:74:74:1       yes 2400.0000 800.0000 2400.000
119    1      1   47 75:75:75:1       yes 2400.0000 800.0000 2400.000
120    1      1   48 76:76:76:1       yes 2400.0000 800.0000 2400.000
121    1      1   49 77:77:77:1       yes 2400.0000 800.0000 2400.000
122    1      1   50 78:78:78:1       yes 2400.0000 800.0000 2400.000
123    1      1   51 79:79:79:1       yes 2400.0000 800.0000 2400.000
124    1      1   52 80:80:80:1       yes 2400.0000 800.0000 2400.000
125    1      1   53 81:81:81:1       yes 2400.0000 800.0000 2400.000
126    1      1   54 82:82:82:1       yes 2400.0000 800.0000 2400.000
127    1      1   55 83:83:83:1       yes 2400.0000 800.0000 2400.000
128    1      1   56 84:84:84:1       yes 2400.0000 800.0000 2400.000
129    1      1   57 85:85:85:1       yes 2400.0000 800.0000 2400.000
130    1      1   58 86:86:86:1       yes 2400.0000 800.0000 2400.000
131    1      1   59 87:87:87:1       yes 2400.0000 800.0000 2400.000
132    1      1   60 88:88:88:1       yes 2400.0000 800.0000 2400.000
133    1      1   61 89:89:89:1       yes 2400.0000 800.0000 2400.000
134    1      1   62 90:90:90:1       yes 2400.0000 800.0000 2400.000
135    1      1   63 91:91:91:1       yes 2400.0000 800.0000 2400.000
136    1      1   64 92:92:92:1       yes 2400.0000 800.0000 2400.000
137    1      1   65 93:93:93:1       yes 2400.0000 800.0000 2400.000
138    1      1   66 94:94:94:1       yes 2400.0000 800.0000 2400.000
139    1      1   67 95:95:95:1       yes 2400.0000 800.0000 2400.000
140    1      1   68 96:96:96:1       yes 2400.0000 800.0000 2400.000
141    1      1   69 97:97:97:1       yes 2400.0000 800.0000 2400.000
142    1      1   70 98:98:98:1       yes 2400.0000 800.0000 2400.000
143    1      1   71 99:99:99:1       yes 2400.0000 800.0000 2400.000
