CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
 85    3      0   85 85:85:85:10       yes 3707.8120 1500.0000 2400.000
 86    3      0   86 86:86:86:10       yes 3707.8120 1500.0000 2400.000
 87    3      0   87 87:87:87:10       yes 3707.8120 1500.0000 2400.000
 88    3      0   88 144:144:144:18    yes 3707.8120 1500.0000 2400.000
 89    3      0   89 145:145:145:18    yes 3707.8120 1500.0000 2400.000
 90    3      0   90 146:146:146:18    yes 3707.8120 1500.0000 2400.000
 91    3      0   91 147:147:147:18    yes 3707.8120 1500.0000 2400.000
 92    3      0   92 148:148:148:18    yes 3707.8120 1500.0000 3694.336
 93    3      0   93 149:149:149:18    yes 3707.8120 1500.0000 3694.332
 94    3      0   94 150:150:150:18    yes 3707.8120 1500.0000 3694.332
 95    3      0   95 151:151:151:18    yes 3707.8120 1500.0000 3694.335
 96    4      1   96 256:256:256:32    yes 3707.8120 1500.0000 2400.000
 97    4      1   97 257:257:257:32    yes 3707.8120 1500.0000 2400.000
 98    4      1   98 258:258:258:32    yes 3707.8120 1500.0000 2400.000
 99    4      1   99 259:259:259:32    yes 3707.8120 1500.0000 2400.000
100    4      1  100 260:260:260:32    yes 3707.8120 1500.0000 2400.000
101    4      1  101 261:261:261:32    yes 3707.8120 1500.0000 2400.000
102    4      1  102 262:262:262:32    yes 3707.8120 1500.0000 2400.000
103    4      1  103 263:263:263:32    yes 3707.8120 1500.0000 2400.000
104    4      1  104 320:320:320:40    yes 3707.8120 1500.0000 2400.000
105    4      1  105 321:321:321:40    yes 3707.8120 1500.0000 2400.000
106    4      1  106 322:322:322:40    yes 3707.8120 1500.0000 2400.000
107    4      1  107 323:323:323:40    yes 3707.8120 1500.0000 2400.000
108    4      1  108 324:324:324:40    yes 3707.8120 1500.0000 2400.000
109    4      1  109 325:325:325:40    yes 3707.8120 1500.0000 2400.000
110    4      1  110 326:326:326:40    yes 3707.8120 1500.0000 2400.000
111    4      1  111 327:327:327:40    yes 3707.8120 1500.0000 2400.000
112    4      1  112 384:384:384:48    yes 3707.8120 1500.0000 2400.000
113    4      1  113 385:385:385:48    yes 3707.8120 1500.0000 2400.000
114    4      1  114 386:386:386:48    yes 3707.8120 1500.0000 2400.000
115    4      1  115 387:387:387:48    yes 3707.8120 1500.0000 2400.000
116    4      1  116 388:388:388:48    yes 3707.8120 1500.0000 2400.000
117    4      1  117 389:389:389:48    yes 3707.8120 1500.0000 2400.000
118    4      1  118 390:390:390:48    yes 3707.8120 1500.0000 2400.000
119    4      1  119 391:391:391:48    yes 3707.8120 1500.0000 2400.000
120    5      1  120 288:288:288:36    yes 3707.8120 1500.0000 2400.000
121    5      1  121 289:289:289:36    yes 3707.8120 1500.0000 2400.000
122    5      1  122 290:290:290:36    yes 3707.8120 1500.0000 2400.000
123    5      1  123 291:291:291:36    yes 3707.8120 1500.0000 2400.000
124    5      1  124 292:292:292:36    yes 3707.8120 1500.0000 2400.000
125    5      1  125 293:293:293:36    yes 3707.8120 1500.0000 2400.000
126    5      1  126 294:294:294:36    yes 3707.8120 1500.0000 2400.000
127    5      1  127 295:295:295:36    yes 3707.8120 1500.0000 2400.000
128    5      1  128 352:352:352:44    yes 3707.8120 1500.0000 2400.000
129    5      1  129 353:353:353:44    yes 3707.8120 1500.0000 2400.000
130    5      1  130 354:354:354:44    yes 3707.8120 1500.0000 2400.000
131    5      1  131 355:355:355:44    yes 3707.8120 1500.0000 2400.000
132    5      1  132 356:356:356:44    yes 3707.8120 1500.0000 2400.000
133    5      1  133 357:357:357:44    yes 3707.8120 1500.0000 2400.000
134    5      1  134 358:358:358:44    yes 3707.8120 1500.0000 2400.000
135    5      1  135 359:359:359:44    yes 3707.8120 1500.0000 2400.000
136    5      1  136 416:416:416:52    yes 3707.8120 1500.0000 2400.000
137    5      1  137 417:417:417:52    yes 3707.8120 1500.0000 2400.000
138    5      1  138 418:418:418:52    yes 3707.8120 1500.0000 2400.000
139    5      1  139 419:419:419:52    yes 3707.8120 1500.0000 2400.000
140    5      1  140 420:420:420:52    yes 3707.8120 1500.0000 3694.333
141    5      1  141 421:421:421:52    yes 3707.8120 1500.0000 3694.334
142    5      1  142 422:422:422:52    yes 3707.8120 1500.0000 3694.336
143    5      1  143 423:423:423:52    yes 3707.8120 1500.0000 3694.337
144    6      1  144 304:304:304:38    yes 3707.8120 1500.0000 3694.339
145    6      1  145 305:305:305:38    yes 3707.8120 1500.0000 2400.000
146    6      1  146 306:306:306:38    yes 3707.8120 1500.0000 2400.000
147    6      1  147 307:307:307:38    yes 3707.8120 1500.0000 2400.000
148    6      1  148 308:308:308:38    yes 3707.8120 1500.0000 2400.000
149    6      1  149 309:309:309:38    yes 3707.8120 1500.0000 2400.000
150    6      1  150 310:310:310:38    yes 3707.8120 1500.0000 2400.000
151    6      1  151 311:311:311:38    yes 3707.8120 1500.0000 2400.000
152    6      1  152 368:368:368:46    yes 3707.8120 1500.0000 2400.000
153    6      1  153 369:369:369:46    yes 3707.8120 1500.0000 2400.000
154    6      1  154 370:370:370:46    yes 3707.8120 1500.0000 2400.000
155    6      1  155 371:371:371:46    yes 3707.8120 1500.0000 2400.000
156    6      1  156 372:372:372:46    yes 3707.8120 1500.0000 2400.000
157    6      1  157 373:373:373:46    yes 3707.8120 1500.0000 3694.341
158    6      1  158 374:374:374:46    yes 3707.8120 1500.0000 2400.000
159    6      1  159 375:375:375:46    yes 3707.8120 1500.0000 2400.000
160    6      1  160 432:432:432:54    yes 3707.8120 1500.0000 3694.337
161    6      1  161 433:433:433:54    yes 3707.8120 1500.0000 2400.000
162    6      1  162 434:434:434:54    yes 3707.8120 1500.0000 2400.000
163    6      1  163 435:435:435:54    yes 3707.8120 1500.0000 2400.000
164    6      1  164 436:436:436:54    yes 3707.8120 1500.0000 2400.000
165    6      1  165 437:437:437:54    yes 3707.8120 1500.0000 3694.314
166    6      1  166 438:438:438:54    yes 3707.8120 1500.0000 2400.000
167    6      1  167 439:439:439:54    yes 3707.8120 1500.0000 2400.000
168    7      1  168 272:272:272:34    yes 3707.8120 1500.0000 2400.000
169    7      1  169 273:273:273:34    yes 3707.8120 1500.0000 2400.000
170    7      1  170 274:274:274:34    yes 3707.8120 1500.0000 2400.000
171    7      1  171 275:275:275:34    yes 3707.8120 1500.0000 2400.000
172    7      1  172 276:276:276:34    yes 3707.8120 1500.0000 2400.000
173    7      1  173 277:277:277:34    yes 3707.8120 1500.0000 2400.000
174    7      1  174 278:278:278:34    yes 3707.8120 1500.0000 2400.000
175    7      1  175 279:279:279:34    yes 3707.8120 1500.0000 2400.000
176    7      1  176 336:336:336:42    yes 3707.8120 1500.0000 2400.000
177    7      1  177 337:337:337:42    yes 3707.8120 1500.0000 2400.000
178    7      1  178 338:338:338:42    yes 3707.8120 1500.0000 2400.000
179    7      1  179 339:339:339:42    yes 3707.8120 1500.0000 2400.000
180    7      1  180 340:340:340:42    yes 3707.8120 1500.0000 2400.000
181    7      1  181 341:341:341:42    yes 3707.8120 1500.0000 3694.337
182    7      1  182 342:342:342:42    yes 3707.8120 1500.0000 2400.000
183    7      1  183 343:343:343:42    yes 3707.8120 1500.0000 2400.000
184    7      1  184 400:400:400:50    yes 3707.8120 1500.0000 2400.000
185    7      1  185 401:401:401:50    yes 3707.8120 1500.0000 2400.000
186    7      1  186 402:402:402:50    yes 3707.8120 1500.0000 3694.338
187    7      1  187 403:403:403:50    yes 3707.8120 1500.0000 2400.000
188    7      1  188 404:404:404:50    yes 3707.8120 1500.0000 3693.853
189    7      1  189 405:405:405:50    yes 3707.8120 1500.0000 2400.000
190    7      1  190 406:406:406:50    yes 3707.8120 1500.0000 3694.339
191    7      1  191 407:407:407:50    yes 3707.8120 1500.0000 2400.000
