CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
 85    5      1   85 85:85:85:10       yes 2450.0000 1500.0000 2450.000
 86    5      1   86 86:86:86:10       yes 2450.0000 1500.0000 2450.000
 87    5      1   87 87:87:87:10       yes 2450.0000 1500.0000 2450.000
 88    5      1   88 88:88:88:11       yes 2450.0000 1500.0000 2450.000
 89    5      1   89 89:89:89:11       yes 2450.0000 1500.0000 2450.000
 90    5      1   90 90:90:90:11       yes 2450.0000 1500.0000 2450.000
 91    5      1   91 91:91:91:11       yes 2450.0000 1500.0000 2450.000
 92    5      1   92 92:92:92:11       yes 2450.0000 1500.0000 2450.000
 93    5      1   93 93:93:93:11       yes 2450.0000 1500.0000 2450.000
 94    5      1   94 94:94:94:11       yes 2450.0000 1500.0000 2450.000
 95    5      1   95 95:95:95:11       yes 2450.0000 1500.0000 2450.000
 96    6      1   96 96:96:96:12       yes 2450.0000 1500.0000 2450.000
 97    6      1   97 97:97:97:12       yes 2450.0000 1500.0000 2450.000
 98    6      1   98 98:98:98:12       yes 2450.0000 1500.0000 2450.000
 99    6      1   99 99:99:99:12       yes 2450.0000 1500.0000 2450.000
100    6      1  100 100:100:100:12    yes 2450.0000 1500.0000 2450.000
101    6      1  101 101:101:101:12    yes 2450.0000 1500.0000 2450.000
102    6      1  102 102:102:102:12    yes 2450.0000 1500.0000 2450.000
103    6      1  103 103:103:103:12    yes 2450.0000 1500.0000 2450.000
104    6      1  104 104:104:104:13    yes 2450.0000 1500.0000 2450.000
105    6      1  105 105:105:105:13    yes 2450.0000 1500.0000 2450.000
106    6      1  106 106:106:106:13    yes 2450.0000 1500.0000 2450.000
107    6      1  107 107:107:107:13    yes 2450.0000 1500.0000 2450.000
108    6      1  108 108:108:108:13    yes 2450.0000 1500.0000 2450.000
109    6      1  109 109:109:109:13    yes 2450.0000 1500.0000 2450.000
110    6      1  110 110:110:110:13    yes 2450.0000 1500.0000 2450.000
111    6      1  111 111:111:111:13    yes 2450.0000 1500.0000 2450.000
112    7      1  112 112:112:112:14    yes 2450.0000 1500.0000 2450.000
113    7      1  113 113:113:113:14    yes 2450.0000 1500.0000 2450.000
114    7      1  114 114:114:114:14    yes 2450.0000 1500.0000 2450.000
115    7      1  115 115:115:115:14    yes 2450.0000 1500.0000 2450.000
116    7      1  116 116:116:116:14    yes 2450.0000 1500.0000 2450.000
117    7      1  117 117:117:117:14    yes 2450.0000 1500.0000 2450.000
118    7      1  118 118:118:118:14    yes 2450.0000 1500.0000 2450.000
119    7      1  119 119:119:119:14    yes 2450.0000 1500.0000 2450.000
120    7      1  120 120:120:120:15    yes 2450.0000 1500.0000 2450.000
121    7      1  121 121:121:121:15    yes 2450.0000 1500.0000 2450.000
122    7      1  122 122:122:122:15    yes 2450.0000 1500.0000 2744.050
123    7      1  123 123:123:123:15    yes 2450.0000 1500.0000 2450.000
124    7      1  124 124:124:124:15    yes 2450.0000 1500.0000 2450.000
125    7      1  125 125:125:125:15    yes 2450.0000 1500.0000 2450.000
126    7      1  126 126:126:126:15    yes 2450.0000 1500.0000 2450.000
127    7      1  127 127:127:127:15    yes 2450.0000 1500.0000 2450.000
128    0      0    0 0:0:0:0           yes 2450.0000 1500.0000 2450.000
129    0      0    1 1:1:1:0           yes 2450.0000 1500.0000 2450.000
130    0      0    2 2:2:2:0           yes 2450.0000 1500.0000 2450.000
131    0      0    3 3:3:3:0           yes 2450.0000 1500.0000 2450.000
132    0      0    4 4:4:4:0           yes 2450.0000 1500.0000 2450.000
133    0      0    5 5:5:5:0           yes 2450.0000 1500.0000 2450.000
134    0      0    6 6:6:6:0           yes 2450.0000 1500.0000 2450.000
135    0      0    7 7:7:7:0           yes 2450.0000 1500.0000 2450.000
136    0      0    8 8:8:8:1           yes 2450.0000 1500.0000 2450.000
137    0      0    9 9:9:9:1           yes 2450.0000 1500.0000 2450.000
138    0      0   10 10:10:10:1        yes 2450.0000 1500.0000 2450.000
139    0      0   11 11:11:11:1        yes 2450.0000 1500.0000 2450.000
140    0      0   12 12:12:12:1        yes 2450.0000 1500.0000 2450.000
141    0      0   13 13:13:13:1        yes 2450.0000 1500.0000 2450.000
142    0      0   14 14:14:14:1        yes 2450.0000 1500.0000 2450.000
143    0      0   15 15:15:15:1        yes 2450.0000 1500.0000 2450.000
144    1      0   16 16:16:16:2        yes 2450.0000 1500.0000 2450.000
145    1      0   17 17:17:17:2        yes 2450.0000 1500.0000 2450.000
146    1      0   18 18:18:18:2        yes 2450.0000 1500.0000 2450.000
147    1      0   19 19:19:19:2        yes 2450.0000 1500.0000 2450.000
148    1      0   20 20:20:20:2        yes 2450.0000 1500.0000 2450.000
149    1      0   21 21:21:21:2        yes 2450.0000 1500.0000 2450.000
150    1      0   22 22:22:22:2        yes 2450.0000 1500.0000 2450.000
151    1      0   23 23:23:23:2        yes 2450.0000 1500.0000 2450.000
152    1      0   24 24:24:24:3        yes 2450.0000 1500.0000 2450.000
153    1      0   25 25:25:25:3        yes 2450.0000 1500.0000 2450.000
154    1      0   26 26:26:26:3        yes 2450.0000 1500.0000 2450.000
155    1      0   27 27:27:27:3        yes 2450.0000 1500.0000 2450.000
156    1      0   28 28:28:28:3        yes 2450.0000 1500.0000 2450.000
157    1      0   29 29:29:29:3        yes 2450.0000 1500.0000 2450.000
158    1      0   30 30:30:30:3        yes 2450.0000 1500.0000 2450.000
159    1      0   31 31:31:31:3        yes 2450.0000 1500.0000 2450.000
160    2      0   32 32:32:32:4        yes 2450.0000 1500.0000 2450.000
161    2      0   33 33:33:33:4        yes 2450.0000 1500.0000 2450.000
162    2      0   34 34:34:34:4        yes 2450.0000 1500.0000 2450.000
163    2      0   35 35:35:35:4        yes 2450.0000 1500.0000 2450.000
164    2      0   36 36:36:36:4        yes 2450.0000 1500.0000 2450.000
165    2      0   37 37:37:37:4        yes 2450.0000 1500.0000 2450.000
166    2      0   38 38:38:38:4        yes 2450.0000 1500.0000 2450.000
167    2      0   39 39:39:39:4        yes 2450.0000 1500.0000 2450.000
168    2      0   40 40:40:40:5        yes 2450.0000 1500.0000 2450.000
169    2      0   41 41:41:41:5        yes 2450.0000 1500.0000 2450.000
170    2      0   42 42:42:42:5        yes 2450.0000 1500.0000 2450.000
171    2      0   43 43:43:43:5        yes 2450.0000 1500.0000 2450.000
172    2      0   44 44:44:44:5        yes 2450.0000 1500.0000 2450.000
173    2      0   45 45:45:45:5        yes 2450.0000 1500.0000 2450.000
174    2      0   46 46:46:46:5        yes 2450.0000 1500.0000 2450.000
175    2      0   47 47:47:47:5        yes 2450.0000 1500.0000 2450.000
176    3      0   48 48:48:48:6        yes 2450.0000 1500.0000 2450.000
177    3      0   49 49:49:49:6        yes 2450.0000 1500.0000 2450.000
178    3      0   50 50:50:50:6        yes 2450.0000 1500.0000 2450.000
179    3      0   51 51:51:51:6        yes 2450.0000 1500.0000 2450.000
180    3      0   52 52:52:52:6        yes 2450.0000 1500.0000 2450.000
181    3      0   53 53:53:53:6        yes 2450.0000 1500.0000 2450.000
182    3      0   54 54:54:54:6        yes 2450.0000 1500.0000 2450.000
183    3      0   55 55:55:55:6        yes 2450.0000 1500.0000 2450.000
184    3      0   56 56:56:56:7        yes 2450.0000 1500.0000 2450.000
185    3      0   57 57:57:57:7        yes 2450.0000 1500.0000 2450.000
186    3      0   58 58:58:58:7        yes 2450.0000 1500.0000 2450.000
187    3      0   59 59:59:59:7        yes 2450.0000 1500.0000 2450.000
188    3      0   60 60:60:60:7        yes 2450.0000 1500.0000 2450.000
189    3      0   61 61:61:61:7        yes 2450.0000 1500.0000 2450.000
190    3      0   62 62:62:62:7        yes 2450.0000 1500.0000 2450.000
191    3      0   63 63:63:63:7        yes 2450.0000 1500.0000 2450.000
192    4      1   64 64:64:64:8        yes 2450.0000 1500.0000 2450.000
193    4      1   65 65:65:65:8        yes 2450.0000 1500.0000 2450.000
194    4      1   66 66:66:66:8        yes 2450.0000 1500.0000 2450.000
195    4      1   67 67:67:67:8        yes 2450.0000 1500.0000 2450.000
