CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE
166 1    1      38   38:38:38:1    yes
167 1    1      39   39:39:39:1    yes
168 1    1      40   40:40:40:1    yes
169 1    1      41   41:41:41:1    yes
170 1    1      42   42:42:42:1    yes
171 1    1      43   43:43:43:1    yes
172 1    1      44   44:44:44:1    yes
173 1    1      45   45:45:45:1    yes
174 1    1      46   46:46:46:1    yes
175 1    1      47   47:47:47:1    yes
176 1    1      48   48:48:48:1    yes
177 1    1      49   49:49:49:1    yes
178 1    1      50   50:50:50:1    yes
179 1    1      51   51:51:51:1    yes
180 1    1      52   52:52:52:1    yes
181 1    1      53   53:53:53:1    yes
182 1    1      54   54:54:54:1    yes
183 1    1      55   55:55:55:1    yes
184 1    1      56   56:56:56:1    yes
185 1    1      57   57:57:57:1    yes
186 1    1      58   58:58:58:1    yes
187 1    1      59   59:59:59:1    yes
188 1    1      60   60:60:60:1    yes
189 1    1      61   61:61:61:1    yes
190 1    1      62   62:62:62:1    yes
191 1    1      63   63:63:63:1    yes
192 1    1      32   32:32:32:1    yes
193 1    1      33   33:33:33:1    yes
194 1    1      34   34:34:34:1    yes
195 1    1      35   35:35:35:1    yes
196 1    1      36   36:36:36:1    yes
197 1    1      37   37:37:37:1    yes
198 1    1      38   38:38:38:1    yes
199 1    1      39   39:39:39:1    yes
200 1    1      40   40:40:40:1    yes
201 1    1      41   41:41:41:1    yes
202 1    1      42   42:42:42:1    yes
203 1    1      43   43:43:43:1    yes
204 1    1      44   44:44:44:1    yes
205 1    1      45   45:45:45:1    yes
206 1    1      46   46:46:46:1    yes
207 1    1      47   47:47:47:1    yes
208 1    1      48   48:48:48:1    yes
209 1    1      49   49:49:49:1    yes
210 1    1      50   50:50:50:1    yes
211 1    1      51   51:51:51:1    yes
212 1    1      52   52:52:52:1    yes
213 1    1      53   53:53:53:1    yes
214 1    1      54   54:54:54:1    yes
215 1    1      55   55:55:55:1    yes
216 1    1      56   56:56:56:1    yes
217 1    1      57   57:57:57:1    yes
218 1    1      58   58:58:58:1    yes
219 1    1      59   59:59:59:1    yes
220 1    1      60   60:60:60:1    yes
221 1    1      61   61:61:61:1    yes
222 1    1      62   62:62:62:1    yes
223 1    1      63   63:63:63:1    yes
224 1    1      32   32:32:32:1    yes
225 1    1      33   33:33:33:1    yes
226 1    1      34   34:34:34:1    yes
227 1    1      35   35:35:35:1    yes
228 1    1      36   36:36:36:1    yes
229 1    1      37   37:37:37:1    yes
230 1    1      38   38:38:38:1    yes
231 1    1      39   39:39:39:1    yes
232 1    1      40   40:40:40:1    yes
233 1    1      41   41:41:41:1    yes
234 1    1      42   42:42:42:1    yes
235 1    1      43   43:43:43:1    yes
236 1    1      44   44:44:44:1    yes
237 1    1      45   45:45:45:1    yes
238 1    1      46   46:46:46:1    yes
239 1    1      47   47:47:47:1    yes
240 1    1      48   48:48:48:1    yes
241 1    1      49   49:49:49:1    yes
242 1    1      50   50:50:50:1    yes
243 1    1      51   51:51:51:1    yes
244 1    1      52   52:52:52:1    yes
245 1    1      53   53:53:53:1    yes
246 1    1      54   54:54:54:1    yes
247 1    1      55   55:55:55:1    yes
248 1    1      56   56:56:56:1    yes
249 1    1      57   57:57:57:1    yes
250 1    1      58   58:58:58:1    yes
251 1    1      59   59:59:59:1    yes
252 1    1      60   60:60:60:1    yes
253 1    1      61   61:61:61:1    yes
254 1    1      62   62:62:62:1    yes
255 1    1      63   63:63:63:1    yes
