CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
 85    1      1   85 85:85:85:10       yes 2000.0000 1500.0000 2394.926
 86    1      1   86 86:86:86:10       yes 2000.0000 1500.0000 2394.670
 87    1      1   87 87:87:87:10       yes 2000.0000 1500.0000 2000.000
 88    1      1   88 88:88:88:11       yes 2000.0000 1500.0000 2394.979
 89    1      1   89 89:89:89:11       yes 2000.0000 1500.0000 2394.792
 90    1      1   90 90:90:90:11       yes 2000.0000 1500.0000 2394.594
 91    1      1   91 91:91:91:11       yes 2000.0000 1500.0000 2395.191
 92    1      1   92 92:92:92:11       yes 2000.0000 1500.0000 2395.304
 93    1      1   93 93:93:93:11       yes 2000.0000 1500.0000 2395.316
 94    1      1   94 94:94:94:11       yes 2000.0000 1500.0000 2395.392
 95    1      1   95 95:95:95:11       yes 2000.0000 1500.0000 2394.939
 96    1      1   96 96:96:96:12       yes 2000.0000 1500.0000 3094.262
 97    1      1   97 97:97:97:12       yes 2000.0000 1500.0000 2474.577
 98    1      1   98 98:98:98:12       yes 2000.0000 1500.0000 2474.722
 99    1      1   99 99:99:99:12       yes 2000.0000 1500.0000 2474.587
100    1      1  100 100:100:100:12    yes 2000.0000 1500.0000 2475.162
101    1      1  101 101:101:101:12    yes 2000.0000 1500.0000 2000.000
102    1      1  102 102:102:102:12    yes 2000.0000 1500.0000 2475.144
103    1      1  103 103:103:103:12    yes 2000.0000 1500.0000 2474.268
104    1      1  104 104:104:104:13    yes 2000.0000 1500.0000 2861.010
105    1      1  105 105:105:105:13    yes 2000.0000 1500.0000 2388.688
106    1      1  106 106:106:106:13    yes 2000.0000 1500.0000 2424.284
107    1      1  107 107:107:107:13    yes 2000.0000 1500.0000 2422.506
108    1      1  108 108:108:108:13    yes 2000.0000 1500.0000 2424.384
109    1      1  109 109:109:109:13    yes 2000.0000 1500.0000 2000.000
110    1      1  110 110:110:110:13    yes 2000.0000 1500.0000 2419.586
111    1      1  111 111:111:111:13    yes 2000.0000 1500.0000 2000.000
112    1      1  112 112:112:112:14    yes 2000.0000 1500.0000 2000.000
113    1      1  113 113:113:113:14    yes 2000.0000 1500.0000 2395.213
114    1      1  114 114:114:114:14    yes 2000.0000 1500.0000 2395.283
115    1      1  115 115:115:115:14    yes 2000.0000 1500.0000 2395.337
116    1      1  116 116:116:116:14    yes 2000.0000 1500.0000 2000.000
