CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE
166 2    0      38   38:38:38:9     yes
167 2    0      39   39:39:39:9     yes
168 2    0      40   40:40:40:10    yes
169 2    0      41   41:41:41:10    yes
170 2    0      42   42:42:42:10    yes
171 2    0      43   43:43:43:10    yes
172 2    0      44   44:44:44:11    yes
173 2    0      45   45:45:45:11    yes
174 2    0      46   46:46:46:11    yes
175 2    0      47   47:47:47:11    yes
176 3    0      48   48:48:48:12    yes
177 3    0      49   49:49:49:12    yes
178 3    0      50   50:50:50:12    yes
179 3    0      51   51:51:51:12    yes
180 3    0      52   52:52:52:13    yes
181 3    0      53   53:53:53:13    yes
182 3    0      54   54:54:54:13    yes
183 3    0      55   55:55:55:13    yes
184 3    0      56   56:56:56:14    yes
185 3    0      57   57:57:57:14    yes
186 3    0      58   58:58:58:14    yes
187 3    0      59   59:59:59:14    yes
188 3    0      60   60:60:60:15    yes
189 3    0      61   61:61:61:15    yes
190 3    0      62   62:62:62:15    yes
191 3    0      63   63:63:63:15    yes
192 4    1      64   64:64:64:16    yes
193 4    1      65   65:65:65:16    yes
194 4    1      66   66:66:66:16    yes
195 4    1      67   67:67:67:16    yes
196 4    1      68   68:68:68:17    yes
197 4    1      69   69:69:69:17    yes
198 4    1      70   70:70:70:17    yes
199 4    1      71   71:71:71:17    yes
200 4    1      72   72:72:72:18    yes
201 4    1      73   73:73:73:18    yes
202 4    1      74   74:74:74:18    yes
203 4    1      75   75:75:75:18    yes
204 4    1      76   76:76:76:19    yes
205 4    1      77   77:77:77:19    yes
206 4    1      78   78:78:78:19    yes
207 4    1      79   79:79:79:19    yes
208 5    1      80   80:80:80:20    yes
209 5    1      81   81:81:81:20    yes
210 5    1      82   82:82:82:20    yes
211 5    1      83   83:83:83:20    yes
212 5    1      84   84:84:84:21    yes
213 5    1      85   85:85:85:21    yes
214 5    1      86   86:86:86:21    yes
215 5    1      87   87:87:87:21    yes
216 5    1      88   88:88:88:22    yes
217 5    1      89   89:89:89:22    yes
218 5    1      90   90:90:90:22    yes
219 5    1      91   91:91:91:22    yes
220 5    1      92   92:92:92:23    yes
221 5    1      93   93:93:93:23    yes
222 5    1      94   94:94:94:23    yes
223 5    1      95   95:95:95:23    yes
224 6    1      96   96:96:96:24    yes
225 6    1      97   97:97:97:24    yes
226 6    1      98   98:98:98:24    yes
227 6    1      99   99:99:99:24    yes
228 6    1      100  100:100:100:25 yes
229 6    1      101  101:101:101:25 yes
230 6    1      102  102:102:102:25 yes
231 6    1      103  103:103:103:25 yes
232 6    1      104  104:104:104:26 yes
233 6    1      105  105:105:105:26 yes
234 6    1      106  106:106:106:26 yes
235 6    1      107  107:107:107:26 yes
236 6    1      108  108:108:108:27 yes
237 6    1      109  109:109:109:27 yes
238 6    1      110  110:110:110:27 yes
239 6    1      111  111:111:111:27 yes
240 7    1      112  112:112:112:28 yes
241 7    1      113  113:113:113:28 yes
242 7    1      114  114:114:114:28 yes
243 7    1      115  115:115:115:28 yes
244 7    1      116  116:116:116:29 yes
245 7    1      117  117:117:117:29 yes
246 7    1      118  118:118:118:29 yes
247 7    1      119  119:119:119:29 yes
248 7    1      120  120:120:120:30 yes
249 7    1      121  121:121:121:30 yes
250 7    1      122  122:122:122:30 yes
251 7    1      123  123:123:123:30 yes
252 7    1      124  124:124:124:31 yes
253 7    1      125  125:125:125:31 yes
254 7    1      126  126:126:126:31 yes
255 7    1      127  127:127:127:31 yes
