CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
 85   10      1   85 85:85:85:10       yes 3762.9880 1500.0000 2300.000
 86   10      1   86 86:86:86:10       yes 3762.9880 1500.0000 2300.000
 87   10      1   87 87:87:87:10       yes 3762.9880 1500.0000 2300.000
 88   11      1   88 112:112:112:14    yes 3762.9880 1500.0000 2300.000
 89   11      1   89 113:113:113:14    yes 3762.9880 1500.0000 2300.000
 90   11      1   90 114:114:114:14    yes 3762.9880 1500.0000 2300.000
 91   11      1   91 115:115:115:14    yes 3762.9880 1500.0000 2300.000
 92   11      1   92 116:116:116:14    yes 3762.9880 1500.0000 2300.000
 93   11      1   93 117:117:117:14    yes 3762.9880 1500.0000 2300.000
 94   11      1   94 118:118:118:14    yes 3762.9880 1500.0000 2300.000
 95   11      1   95 119:119:119:14    yes 3762.9880 1500.0000 2300.000
 96   12      1   96 88:88:88:11       yes 3762.9880 1500.0000 2300.000
 97   12      1   97 89:89:89:11       yes 3762.9880 1500.0000 2300.000
 98   12      1   98 90:90:90:11       yes 3762.9880 1500.0000 2300.000
 99   12      1   99 91:91:91:11       yes 3762.9880 1500.0000 2300.000
100   12      1  100 92:92:92:11       yes 3762.9880 1500.0000 2300.000
101   12      1  101 93:93:93:11       yes 3762.9880 1500.0000 2300.000
102   12      1  102 94:94:94:11       yes 3762.9880 1500.0000 2300.000
103   12      1  103 95:95:95:11       yes 3762.9880 1500.0000 2300.000
104   13      1  104 120:120:120:15    yes 3762.9880 1500.0000 2300.000
105   13      1  105 121:121:121:15    yes 3762.9880 1500.0000 2300.000
106   13      1  106 122:122:122:15    yes 3762.9880 1500.0000 2300.000
107   13      1  107 123:123:123:15    yes 3762.9880 1500.0000 2300.000
108   13      1  108 124:124:124:15    yes 3762.9880 1500.0000 2300.000
109   13      1  109 125:125:125:15    yes 3762.9880 1500.0000 2300.000
110   13      1  110 126:126:126:15    yes 3762.9880 1500.0000 2300.000
111   13      1  111 127:127:127:15    yes 3762.9880 1500.0000 2300.000
112   14      1  112 72:72:72:9        yes 3762.9880 1500.0000 2300.000
113   14      1  113 73:73:73:9        yes 3762.9880 1500.0000 2300.000
114   14      1  114 74:74:74:9        yes 3762.9880 1500.0000 2300.000
115   14      1  115 75:75:75:9        yes 3762.9880 1500.0000 2300.000
116   14      1  116 76:76:76:9        yes 3762.9880 1500.0000 2300.000
117   14      1  117 77:77:77:9        yes 3762.9880 1500.0000 2300.000
118   14      1  118 78:78:78:9        yes 3762.9880 1500.0000 2300.000
119   14      1  119 79:79:79:9        yes 3762.9880 1500.0000 2300.000
120   15      1  120 104:104:104:13    yes 3762.9880 1500.0000 2300.000
121   15      1  121 105:105:105:13    yes 3762.9880 1500.0000 2300.000
122   15      1  122 106:106:106:13    yes 3762.9880 1500.0000 2300.000
123   15      1  123 107:107:107:13    yes 3762.9880 1500.0000 2300.000
124   15      1  124 108:108:108:13    yes 3762.9880 1500.0000 2300.000
125   15      1  125 109:109:109:13    yes 3762.9880 1500.0000 2300.000
126   15      1  126 110:110:110:13    yes 3762.9880 1500.0000 2300.000
127   15      1  127 111:111:111:13    yes 3762.9880 1500.0000 2300.000
128    0      0    0 0:0:0:0           yes 3762.9880 1500.0000 2300.000
129    0      0    1 1:1:1:0           yes 3762.9880 1500.0000 2300.000
130    0      0    2 2:2:2:0           yes 3762.9880 1500.0000 2300.000
131    0      0    3 3:3:3:0           yes 3762.9880 1500.0000 2300.000
132    0      0    4 4:4:4:0           yes 3762.9880 1500.0000 2300.000
133    0      0    5 5:5:5:0           yes 3762.9880 1500.0000 2300.000
134    0      0    6 6:6:6:0           yes 3762.9880 1500.0000 2300.000
135    0      0    7 7:7:7:0           yes 3762.9880 1500.0000 2300.000
136    1      0    8 32:32:32:4        yes 3762.9880 1500.0000 2300.000
137    1      0    9 33:33:33:4        yes 3762.9880 1500.0000 2300.000
138    1      0   10 34:34:34:4        yes 3762.9880 1500.0000 2300.000
139    1      0   11 35:35:35:4        yes 3762.9880 1500.0000 2300.000
140    1      0   12 36:36:36:4        yes 3762.9880 1500.0000 2300.000
141    1      0   13 37:37:37:4        yes 3762.9880 1500.0000 2300.000
142    1      0   14 38:38:38:4        yes 3762.9880 1500.0000 2300.000
143    1      0   15 39:39:39:4        yes 3762.9880 1500.0000 2300.000
144    2      0   16 16:16:16:2        yes 3762.9880 1500.0000 2300.000
145    2      0   17 17:17:17:2        yes 3762.9880 1500.0000 2300.000
146    2      0   18 18:18:18:2        yes 3762.9880 1500.0000 2300.000
147    2      0   19 19:19:19:2        yes 3762.9880 1500.0000 2300.000
148    2      0   20 20:20:20:2        yes 3762.9880 1500.0000 2300.000
149    2      0   21 21:21:21:2        yes 3762.9880 1500.0000 2300.000
150    2      0   22 22:22:22:2        yes 3762.9880 1500.0000 2300.000
151    2      0   23 23:23:23:2        yes 3762.9880 1500.0000 2300.000
152    3      0   24 48:48:48:6        yes 3762.9880 1500.0000 2300.000
153    3      0   25 49:49:49:6        yes 3762.9880 1500.0000 2300.000
154    3      0   26 50:50:50:6        yes 3762.9880 1500.0000 2300.000
155    3      0   27 51:51:51:6        yes 3762.9880 1500.0000 2300.000
156    3      0   28 52:52:52:6        yes 3762.9880 1500.0000 2300.000
157    3      0   29 53:53:53:6        yes 3762.9880 1500.0000 2300.000
158    3      0   30 54:54:54:6        yes 3762.9880 1500.0000 2300.000
159    3      0   31 55:55:55:6        yes 3762.9880 1500.0000 2300.000
160    4      0   32 24:24:24:3        yes 3762.9880 1500.0000 2300.000
161    4      0   33 25:25:25:3        yes 3762.9880 1500.0000 2300.000
162    4      0   34 26:26:26:3        yes 3762.9880 1500.0000 2300.000
163    4      0   35 27:27:27:3        yes 3762.9880 1500.0000 2300.000
164    4      0   36 28:28:28:3        yes 3762.9880 1500.0000 2300.000
165    4      0   37 29:29:29:3        yes 3762.9880 1500.0000 2300.000
166    4      0   38 30:30:30:3        yes 3762.9880 1500.0000 2300.000
167    4      0   39 31:31:31:3        yes 3762.9880 1500.0000 2300.000
168    5      0   40 56:56:56:7        yes 3762.9880 1500.0000 2300.000
169    5      0   41 57:57:57:7        yes 3762.9880 1500.0000 2300.000
170    5      0   42 58:58:58:7        yes 3762.9880 1500.0000 2300.000
171    5      0   43 59:59:59:7        yes 3762.9880 1500.0000 2300.000
172    5      0   44 60:60:60:7        yes 3762.9880 1500.0000 2300.000
173    5      0   45 61:61:61:7        yes 3762.9880 1500.0000 2300.000
174    5      0   46 62:62:62:7        yes 3762.9880 1500.0000 2300.000
175    5      0   47 63:63:63:7        yes 3762.9880 1500.0000 2300.000
176    6      0   48 8:8:8:1           yes 3762.9880 1500.0000 2300.000
177    6      0   49 9:9:9:1           yes 3762.9880 1500.0000 2300.000
178    6      0   50 10:10:10:1        yes 3762.9880 1500.0000 2300.000
179    6      0   51 11:11:11:1        yes 3762.9880 1500.0000 2300.000
180    6      0   52 12:12:12:1        yes 3762.9880 1500.0000 2300.000
181    6      0   53 13:13:13:1        yes 3762.9880 1500.0000 2300.000
182    6      0   54 14:14:14:1        yes 3762.9880 1500.0000 2300.000
183    6      0   55 15:15:15:1        yes 3762.9880 1500.0000 2300.000
184    7      0   56 40:40:40:5        yes 3762.9880 1500.0000 2300.000
185    7      0   57 41:41:41:5        yes 3762.9880 1500.0000 2300.000
186    7      0   58 42:42:42:5        yes 3762.9880 1500.0000 2300.000
187    7      0   59 43:43:43:5        yes 3762.9880 1500.0000 2300.000
188    7      0   60 44:44:44:5        yes 3762.9880 1500.0000 2300.000
189    7      0   61 45:45:45:5        yes 3762.9880 1500.0000 2300.000
190    7      0   62 46:46:46:5        yes 3762.9880 1500.0000 2300.000
191    7      0   63 47:47:47:5        yes 3762.9880 1500.0000 2300.000
192    8      1   64 64:64:64:8        yes 3762.9880 1500.0000 2300.000
193    8      1   65 65:65:65:8        yes 3762.9880 1500.0000 2300.000
194    8      1   66 66:66:66:8        yes 3762.9880 1500.0000 2300.000
195    8      1   67 67:67:67:8        yes 3762.9880 1500.0000 2300.000
196    8      1   68 68:68:68:8        yes 3762.9880 1500.0000 2300.000
197    8      1   69 69:69:69:8        yes 3762.9880 1500.0000 2300.000
198    8      1   70 70:70:70:8        yes 3762.9880 1500.0000 2300.000
199    8      1   71 71:71:71:8        yes 3762.9880 1500.0000 2300.000
200    9      1   72 96:96:96:12       yes 3762.9880 1500.0000 2300.000
201    9      1   73 97:97:97:12       yes 3762.9880 1500.0000 2300.000
202    9      1   74 98:98:98:12       yes 3762.9880 1500.0000 2300.000
203    9      1   75 99:99:99:12       yes 3762.9880 1500.0000 2300.000
204    9      1   76 100:100:100:12    yes 3762.9880 1500.0000 2300.000
205    9      1   77 101:101:101:12    yes 3762.9880 1500.0000 2300.000
206    9      1   78 102:102:102:12    yes 3762.9880 1500.0000 2300.000
207    9      1   79 103:103:103:12    yes 3762.9880 1500.0000 2300.000
208   10      1   80 80:80:80:10       yes 3762.9880 1500.0000 2300.000
209   10      1   81 81:81:81:10       yes 3762.9880 1500.0000 2300.000
210   10      1   82 82:82:82:10       yes 3762.9880 1500.0000 2300.000
